,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
92,William Carvalho\William-Carvalho,pt POR,MF,Betis,26,1992,30,26,2385,0,5,0,0,7,0,0,0.19,0.19,0,0.19,0.6,0.6,2,0.02,0.07,0.1,0.02,0.1,Matches
93,Casemiro\Casemiro,br BRA,MF,Real Madrid,26,1992,29,27,2312,3,0,0,0,7,1,0.12,0,0.12,0.12,0.12,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
94,Santiago Cáseres\Santiago-Caseres,ar ARG,MF,Villarreal,21,1997,23,17,1588,0,1,0,0,10,0,0,0.06,0.06,0,0.06,0.3,0.3,0.9,0.02,0.05,0.07,0.02,0.07,Matches
95,Catena\Catena,es ESP,DF,Rayo Vallecano,23,1994,2,2,176,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,Matches
96,Santi Cazorla\Santi-Cazorla,es ESP,MFFW,Villarreal,33,1984,35,30,2647,4,10,2,3,2,0,0.14,0.34,0.48,0.07,0.41,4.3,2,6.7,0.15,0.23,0.38,0.07,0.3,Matches
97,Dani Ceballos\Dani-Ceballos,es ESP,MFFW,Real Madrid,21,1996,23,13,1248,3,0,0,0,3,0,0.22,0,0.22,0.22,0.22,2.3,2.3,1.7,0.16,0.12,0.29,0.16,0.29,Matches
98,Charles\Charles,br BRA,FW,Eibar,34,1984,34,17,1739,14,1,6,7,4,0,0.72,0.05,0.78,0.41,0.47,11.6,6.3,1,0.6,0.05,0.65,0.33,0.38,Matches
99,Chechu\Chechu,es ESP,DF,Rayo Vallecano,36,1982,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Chema\Chema,es ESP,DF,Levante,26,1992,19,13,1254,2,0,0,0,7,0,0.14,0,0.14,0.14,0.14,0.6,0.6,0.1,0.04,0.01,0.05,0.04,0.05,Matches
101,Denis Cheryshev\Denis-Cheryshev,ru RUS,MFFW,Valencia,27,1990,27,19,1706,2,2,0,0,2,0,0.11,0.11,0.21,0.11,0.21,3.3,3.3,6.7,0.17,0.36,0.53,0.17,0.53,Matches
102,Leandro Chichizola\Leandro-Chichizola,ar ARG,GK,Getafe,28,1990,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
