Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
98,Palkó Dárdai\Palko-Dardai,de GER,MFFW,Hertha BSC,19,1999,7,1,113,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,Matches
99,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,27,1990,10,3,376,0,1,0,0,1,0,0,0.24,0.24,0,0.24,1.1,1.1,1.1,0.27,0.26,0.53,0.27,0.53,Matches
100,Alphonso Davies\Alphonso-Davies,ca CAN,FWMF,Bayern Munich,17,2000,6,0,80,1,0,0,0,1,0,1.13,0,1.13,1.13,1.13,0.2,0.2,0,0.19,0,0.19,0.19,0.19,Matches
101,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,26,1991,30,27,2283,3,5,0,0,7,0,0.12,0.2,0.32,0.12,0.32,2.4,2.4,1.4,0.09,0.06,0.15,0.09,0.15,Matches
102,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Hoffenheim,25,1993,26,24,2017,4,9,0,0,6,0,0.18,0.4,0.58,0.18,0.58,4.1,4.1,8.5,0.18,0.38,0.56,0.18,0.56,Matches
103,Diego Demme\Diego-Demme,de GER,MF,RB Leipzig,26,1991,26,24,2055,0,2,0,0,4,0,0,0.09,0.09,0,0.09,0.3,0.3,2,0.01,0.09,0.1,0.01,0.1,Matches
104,Franco Di Santo\Franco-Di-Santo,ar ARG,FWMF,Schalke 04,29,1989,4,3,245,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.4,0.24,0.16,0.39,0.24,0.39,Matches
105,Abdou Diallo\Abdou-Diallo,fr FRA,DF,Dortmund,22,1996,28,27,2379,1,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.7,0.03,0.03,0.06,0.03,0.06,Matches
106,Daniel Didavi\Daniel-Didavi,de GER,MFFW,Stuttgart,28,1990,20,8,956,2,2,0,0,0,0,0.19,0.19,0.38,0.19,0.38,1.9,1.9,3.3,0.18,0.31,0.49,0.18,0.49,Matches
107,Tim Dierßen\Tim-Dierssen,de GER,FW,Hannover 96,22,1996,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,20,1998,17,7,898,2,3,0,0,2,0,0.2,0.3,0.5,0.2,0.5,0.5,0.5,2.6,0.05,0.26,0.31,0.05,0.31,Matches
109,Giulio Donati\Giulio-Donati,it ITA,DF,Mainz 05,28,1990,9,6,625,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0,0.05,0.05,0,0.05,Matches
